# 노부나가의 야망 (GBA) 한글패치 — 번역 대조표

자동 독음 변환 4391건 / 번역 1035건 + 시퀀스 187그룹

## 1. 자동 독음 변환 (인명·지명·성 등)
一万田	일만전
政行	정행
政重	정중
数正	수정
斉藤	제등
斎藤	재등
新納	신납
日向	일향
早田	조전
昌信	창신
昌幸	창행
昌景	창경
昌豊	창풍
明智	명지
易家	역가
昭為	소위
時久	시구
時尭	시요
時忠	시충
景信	경신
景健	경건
景勝	경승
景家	경가
景広	경광
景紀	경기
景綱	경강
景虎	경호
景貫	경관
景連	경련
景鏡	경경
景隆	경륭
景頼	경뢰
晴久	청구
晴員	청원
晴宗	청종
晴広	청광
晴朝	청조
晴賢	청현
晴通	청통
曜変稲葉天目	요변도엽천목
最上	최상
有	유
有楽斎	유락재
服部	복부
望月	망월
朝信	조신
朝倉	조창
朝勝	조승
朝堅	조견
朝日奈	조일나
朝比奈	조비나
朝直	조직
木造	목조
本多	본다
本庄	본장
本願寺	본원사
杉	삼
杉原	삼원
村上	촌상
村重	촌중
来島	내도
松井	송정
松平	송평
松本	송본
松永	송영
松田	송전
林	임
柳生	유생
柴田	시전
柿崎	시기
根津	근진
桂	계
森	삼
検	검
業正	업정
業盛	업성
楯岡	순강
権兵衛	권병위
正信	정신
正則	정칙
正勝	정승
正幸	정행
正木	정목
正村	정촌
正澄	정징
正純	정순
正綱	정강
正親	정친
武吉	무길
武田	무전
武蔵	무장
歳久	세구
殿	전
毛利	모리
氏元	씨원
氏家	씨가
氏康	씨강
氏政	씨정
氏清	씨청
氏照	씨조
氏直	씨직
氏真	씨진
氏規	씨규
氏邦	씨방
氏郷	씨향
水谷	수곡
永	영
江戸	강호
江里口	강리구
池田	지전
河合	하합
河野	하야
波多野	파다야
泰朝	태조
泰能	태능
浅井	천정
浅野	천야
海	해
海北	해북
海野	해야
深水	심수
清宗	청종
清康	청강
清正	청정
清水	청수
清綱	청강
清長	청장
渡辺	도변
温井	온정
満栄	만영
満茂	만무
滝川	농천
瀬戸平野肩衝	뇌호평야견충
瀬戸敷島大海	뇌호부도대해
瀬戸霜夜文琳	뇌호상야문림
瀬戸面影真帖	뇌호면영진첩
瀬戸黒小原女	뇌호흑소원녀
瀬戸黒小原木	뇌호흑소원목
灰被珠光天目	회피주광천목
無	무
熊谷	웅곡
片倉	편창
片見	편견
牛尾	우미
牧野	목야
犬童	견동
猪苗代	저묘대
猿	원
猿渡	원도
猿飛	원비
玄以	현이
玉岡	옥강
瑞	서
甚八	심팔
甥	생
田原	전원
由利	유리
由比	유비
甲斐	갑비
留守	유수
畷	철
百地	백지
百武	백무
盛信	성신
盛備	성비
盛国	성국
盛政	성정
盛氏	성씨
盛胤	성윤
盛興	성흥
盛親	성친
盛重	성중
盛隆	성륭
直家	직가
直政	직정
直正	직정
直江	직강
直茂	직무
直貞	직정
相模	상모
相良	상량
真之	진지
真田	진전
矢沢	시택
石川	석천
石田	석전
石見	석견
石見守	석견수
磯	기
磯野	기야
祐俊	우준
祐兵	우병
祐安	우안
祐直	우직
祐秀	우수
祐豊	우풍
神保	신보
神戸	신호
福原	복원
福島	복도
福留	복류
秀久	수구
秀信	수신
秀元	수원
秀包	수포
秀吉	수길
秀安	수안
秀家	수가
秀尚	수상
秀就	수취
秀康	수강
秀忠	수충
秀政	수정
秀治	수치
秀満	수만
秀現	수현
秀秋	수추
秀綱	수강
秀長	수장
秀頼	수뢰
秋山	추산
種子島	종자도
稲富	도부
稲葉	도엽
穴山	혈산
立原	입원
立花	입화
竜興	용흥
竹一重園城寺	죽일중원성사
竹中	죽중
笠原	입원
筑後	축후
筒井	통정
筧	견
篠原	소원
篭	농
紀伊	기이
細川	세천
紹雲	소운
経好	경호
経安	경안
結城	결성
継潤	계윤
続光	속광
続成	속성
続連	속련
綱信	강신
綱元	강원
綱成	강성
綱景	강경
綱直	강직
綱親	강친
綱連	강련
繁沢	번택
繁長	번장
織	직
織田	직전
織部	직부
美作守	미작수
美濃	미농
義久	의구
義信	의신
義元	의원
義光	의광
義孝	의효
義守	의수
義定	의정
義宣	의선
義尭	의요
義幸	의행
義広	의광
義康	의강
義廉	의렴
義弘	의홍
義慶	의경
義憲	의헌
義昭	의소
義景	의경
義氏	의씨
義治	의치
義清	의청
義益	의익
義祐	의우
義竜	의룡
義統	의통
義継	의계
義綱	의강
義興	의흥
義賢	의현
義輝	의휘
義道	의도
義重	의중
義長	의장
義陽	의양
義頼	의뢰
羽柴	우시
職鎮	직진
肝付	간부
肥前	비전
肥後	비후
能登	능등
臼杵	구저
興秀	흥수
良弘	양홍
良頼	양뢰
色部	색부
芦屋真形	노옥진형
花房	화방
芳賀	방하
荒木	황목
荒木高麗	황목고려
菅沼	관소
葛山	갈산
蒲生	포생
蕎麦玉川	교맥옥천
薩摩	살마
藤堂	등당
藤孝	등효
藤木	등목
蘭丸	난환
虎昌	호창
蜂屋	봉옥
蜂須賀	봉수하
行長	행장
覚兼	각겸
覚広	각광
親信	친신
親和	친화
親守	친수
親実	친실
親家	친가
親成	친성
親泰	친태
親盛	친성
親直	친직
親興	친흥
親貞	친정
親賢	친현
謙信	겸신
讃岐	찬기
豊国	풍국
豊定	풍정
豊後	풍후
豊臣	풍신
貌	모
貞俊	정준
貞大	정대
貞親	정친
貯	저
貴久	귀구
資正	자정
賢兼	현겸
賢秀	현수
賢豊	현풍
赤井	적정
赤尾	적미
赤松	적송
赤楽早船	적락조선
赤楽無一物	적락무일물
赤楽道成寺	적락도성사
赤池	적지
越中	월중
越前	월전
越後	월후
足利	족리
跡	적
輝元	휘원
輝宗	휘종
輝政	휘정
近江	근강
通勝	통승
通宣	통선
通年	통년
通康	통강
通房	통방
通直	통직
通総	통총
通良	통량
連竜	연룡
遊佐	유좌
道三	도삼
道雪	도설
道鬼斎	도귀재
達安	달안
遠山	원산
遠江	원강
遠江守	원강수
遠藤	원등
那須	나수
酒井	주정
里見	이견
重俊	중준
重朝	중조
重秀	중수
重貞	중정
重通	중통
重隆	중륭
金上	금상
金森	금삼
鈴木	영목
鍋島	과도
鎌	겸
鎌之助	겸지조
鎮実	진실
鑑実	감실
鑑理	감리
鑑速	감속
長	장
長任	장임
長住	장주
長信	장신
長可	장가
長城	장성
長増	장증
長安	장안
長実	장실
長尾	장미
長徳	장덕
長忠	장충
長恵	장혜
長慶	장경
長房	장방
長政	장정
長時	장시
長智	장지
長正	장정
長池	장지
長治	장치
長照	장조
長盛	장성
長秀	장수
長竜	장룡
長職	장직
長船	장선
長親	장친
長近	장근
長逸	장일
長野	장야
長頼	장뢰
関	관
阿波	아파
阿閉	아폐
陶	도
陸前	육전
陸奥	육오
隆信	융신
隆元	융원
隆兼	융겸
隆家	융가
隆景	융경
隆重	융중
雨森	우삼
雪斎	설재
霧隠	무은
青	청
青山	청산
青磁大内筒	청자대내통
青磁松本	청자송본
順慶	순경
頼兄	뇌형
頼周	뇌주
頼孝	뇌효
頼安	뇌안
頼廉	뇌렴
頼忠	뇌충
頼房	뇌방
頼次	뇌차
頼照	뇌조
頼竜	뇌룡
頼綱	뇌강
頼貞	뇌정
頼隆	뇌륭
顕綱	현강
風魔	풍마
飛騨	비탄
飯富	반부
飯尾	반미
飯田	반전
香川	향천
馬場	마장
駿河	준하
高力	고력
高吉	고길
高坂	고판
高定	고정
高山	고산
高島	고도
高広	고광
高橋	고교
高次	고차
高継	고계
高虎	고호
高資	고자
鬼庭	귀정
鮭延	해연
鳥居	조거
鳥屋尾	조옥미
鴎	구
鵜殿	제전
鹿之介	녹지개
黄瀬戸旅枕	황뢰호려침
黄瀬戸花宴	황뢰호화연
黒楽大黒	흑락대흑
黒楽東陽坊	흑락동양방
黒楽鉢開	흑락발개
黒楽雁取	흑락안취
黒田	흑전
龍造寺	용조사

## 2. 일반 문자열 번역
%2d日	→	%2d일
%2d日%2d時	→	%2d일 %2d시
%2d番目 %s家%s国戦略中…	→	%2d번째 %s가 %s국 전략 중…
%4d年%2d月	→	%4d년 %2d월
%dブロック使用します	→	%d블록을 사용합니다
%d年	→	%d년
%s\n%sをいかほど%sますか？	→	%s\n%s을(를) 얼마나 %s하시겠습니까？
%s%s%sの%s%dを%s	→	%s%s%s의 %s%d을(를) %s
%s%s%sの%sを%s	→	%s%s%s의 %s을(를) %s
%s%s%sました	→	%s%s%s습니다
%s%sが%s%sとの%s	→	%s%s이(가) %s%s과(와)의 %s
%s%sが%s%sとの同盟を破棄しました	→	%s%s가 %s%s와(과)의 동맹을 파기했습니다
%s%sが%s%sと密議を交わしていたようです	→	%s%s이(가) %s%s과(와) 밀담을 나눈 듯합니다
%s%sが%s%sに会っているようです	→	%s%s가 %s%s를 만나고 있는 듯합니다
%s%sが%s%sに斬られた！	→	%s%s이(가) %s%s에게 베였다！
%s%sが%sで大名となり	→	%s%s이(가) %s에서 다이묘가 되어
%s%sが寝返り	→	%s%s이(가) 배반
%s%sが寝返りました	→	%s%s이(가) 배반했습니다
%s%sが持っていた茶器を%s%sが手に入れ	→	%s%s이(가) 가지고 있던 다기를 %s%s이(가) 손에 넣어
%s%sが持っていた茶器を手に入れ	→	%s%s가 가지고 있던 다기를 손에 넣
%s%sが持っていた茶器を手に入れました	→	%s%s이(가) 가지고 있던 다기를 손에 넣었습니다
%s%sが捕まりました	→	%s%s이(가) 사로잡혔습니다
%s%sが援軍に向かい	→	%s%s이(가) 원군으로 향해
%s%sが改名し	→	%s%s이(가) 개명하여
%s%sが斬られた	→	%s%s이(가) 베였다
%s%sが織田信長と同盟を結び	→	%s%s가 직전신장과 동맹을 맺
%s%sが鉄甲船を手に入れ	→	%s%s이(가) 철갑선을 손에 넣어
%s%sが鉄砲%dを手に入れ	→	%s%s이(가) 철포 %d정을 손에 넣어
%s%sで	→	%s%s로
%s%sにご命令を	→	%s%s에게 명령을
%s%sには効果があり	→	%s%s에게는 효과가 있습니다
%s%sに与えますか？	→	%s%s에게 하사하시겠습니까?
%s%sに何百人兵を預けますか？	→	%s%s에게 몇 백 명의 병사를 맡기시겠습니까？
%s%sに何百人兵を預けますか？\n-残り兵%4d-	→	%s%s에게 병사 몇백 명을 맡기시겠습니까？\n-남은 병사 %4d-
%s%sに命じますか？	→	%s%s에게 명하시겠습니까?
%s%sの%s	→	%s%s의 %s
%s%sの%s%s	→	%s%s의 %s%s
%s%sの兵が脱走しました	→	%s%s의 병사가 탈영했습니다
%s%sの戦術	→	%s%s의 전술
%s%sの戦闘力が上がりました	→	%s%s의 전투력이 상승했습니다
%s%sはあえない最期を遂げ	→	%s%s은(는) 허무한 최후를 맞이하고
%s%sはコンピュータ担当となり	→	%s%s은(는) 컴퓨터 담당이 되어
%s%sは何部隊にしますか	→	%s%s은(는) 몇 부대로 하시겠습니까
%s%sは壮絶な最期を遂げた	→	%s%s는 장렬한 최후를 맞이했다
%s%sは戻り	→	%s%s은(는) 돌아와
%s%sは戻りませんでした	→	%s%s은(는) 돌아오지 않았습니다
%s%sは拒否してきました	→	%s%s이(가) 거부해왔습니다
%s%sは浪人となり	→	%s%s은(는) 낭인이 되고
%s%sは籠城し	→	%s%s은(는) 농성하고
%s%sは自刃しました	→	%s%s는 자결했습니다
%s%sは自害して果て	→	%s%s는 자결하여 숨을 거두
%s%sも改名し	→	%s%s도 개명하여
%s%sを撃った！	→	%s%s를 쏘았다！
%s%sを解任しますか？	→	%s%s을(를) 해임하시겠습니까?
%s%sを配置して下さい	→	%s%s을(를) 배치해 주십시오
%s%s様、	→	%s%s님,
%s%s様、%s	→	%s%s님, %s
%s%s様、%s%sが%sてき	→	%s%s님、 %s%s이(가) %s해 오
%s%s様、%s%sが%sで家臣に加わりました	→	%s%s님、%s%s이(가) %s에서 가신으로 합류했습니다
%s%s様、%s%sが忍者を使い、殿を陥れようとしており	→	%s%s님, %s%s이(가) 닌자를 부려 주군을 모함하려 하고 있사오며
%s%s様、%s%sが殿の家臣の%s%sと密議を交わしていたようです	→	%s%s님、 %s%s이(가) 주군의 가신인 %s%s과(와) 밀담을 나눈 듯하옵니다
%s%s様、%s%sが浪人となり野に下りました	→	%s%s님, %s%s가 낭인이 되어 초야로 물러났습니다
%s%s様、%s%sが隙あらばと殿の御命を狙っておる様子ですぞ	→	%s%s님、 %s%s이(가) 틈만 나면 주군의 목숨을 노리고 있는 듯하옵니다！
%s%s様、%s%sとの%s	→	%s%s님、 %s%s과(와)의 %s
%s%s様、%s%sの処遇を。	→	%s%s님、 %s%s의 처우를。
%s%s様、%sで%s%sと名乗る者が仕官を申し出ております	→	%s%s님、%s에서 %s%s(이)라 자칭하는 자가 사관을 청해왔사옵니다
%s%s様、%sで民が不満を申し立てております	→	%s%s님, %s에서 백성들이 불만을 제기하고 있습니다
%s%s様、%sに%s%sが	→	%s%s님、%s에 %s%s이(가)
%s%s様、%sの%s%sが%sに攻めてきました	→	%s%s님, %s의 %s%s이(가) %s에 쳐들어왔습니다
%s%s様、%s家臣%s%s殿が%s	→	%s%s님、 %s의 가신 %s%s님이 %s
%s%s様、%s氏は	→	%s%s님, %s씨는
%s%s様、今年の%sの%sをいくらになさいますか	→	%s%s님, 올해 %s의 %s을(를) 얼마로 하시겠습니까
%s%s様、今年の直轄領の%sをいかがなさいますか？	→	%s%s님, 올해 직할령의 %s을(를) 어떻게 하시겠습니까？
%s%s様、天下は%s%s様のものとなり	→	%s%s님、천하는 %s%s님의 것이 되어
%s%s様、安土城%s	→	%s%s님, 안토성%s
%s%s様、将軍%s%s公から使者%s%s殿がお越しになり	→	%s%s 님, 쇼군 %s%s 공으로부터 사자 %s%s 님이 찾아오시어
%s%s様、承知しますか？	→	%s%s님, 승낙하시겠습니까？
%s%s様、畠山義継があいさつにまいりました	→	%s%s님、전산의계가 인사드리러 왔사옵니다
%s%s様、誰を出陣させ	→	%s%s님、누구를 출진시키시
%s%s様、誰を参戦させ	→	%s%s님、 누구를 참전시키
%s%s様、鉄甲船ができ上り	→	%s%s님、 철갑선이 완성되어
%s%s様、鉄砲が%dできあがり	→	%s%s님、 철포가 %d정 완성되어
%s%s様配置を任せますか？	→	%s%s님께 배치를 맡기시겠습니까？
%s%s殿	→	%s%s님
%s%s討ちとったり！	→	%s%s을(를) 쳐죽였다!
%s%s軍 対 %s%s軍	→	%s%s군 대 %s%s군
%s%s軍が到着しました	→	%s%s군이 도착했습니다
%s%s軍が勝ち	→	%s%s군이 승리하고
%s%s配下の%s%sが%sを手土産に、投降してき	→	%s%s 휘하의 %s%s이(가) %s을(를) 선물로 삼아 투항해 왔
%s%s配下の%s%sが兵士%dを引き連れ、投降してき	→	%s%s 휘하의 %s%s이(가) 병사 %d을(를) 이끌고 투항해 왔
%s%s配下の%s%sが鉄砲%dを手土産に、投降してき	→	%s%s 휘하의 %s%s이(가) 철포 %d을(를) 선물로 삼아 투항해 왔
%s(%4d年)	→	%s(%4d년)
%sいわく、「%s」	→	%s이(가) 말하길、「%s」
%sから%sに援軍を送りますか？	→	%s에서 %s에 원군을 보내시겠습니까?
%sが%s%sに処刑された	→	%s이(가) %s%s에게 처형되었다
%sが%s%sに斬られた	→	%s가 %s%s에게 베였다
%sが%sりません	→	%s이(가) %s하지 않습니다
%sが勝利しました！	→	%s이(가) 승리했습니다！
%sで%s%sが大名となり	→	%s에서 %s%s이(가) 다이묘가 되고
%sでいいですか？	→	%s(으)로 하시겠습니까？
%sでの戦いを再開します	→	%s에서 전투를 재개합니다
%sで一向一揆が起こりました	→	%s에서 일향잇키가 일어났습니다
%sで疫病が発生したもようです	→	%s에서 역병이 발생한 듯합니다
%sで謀叛が発生し	→	%s에서 모반이 발생하여
%sに%s%sが共同軍を送り	→	%s에 %s%s이(가) 공동군을 보내
%sに%s%sが援軍を送り	→	%s에게 %s%s이(가) 원군을 보내
%sの%s%sが%s領%sへ攻め込みました	→	%s의 %s%s가 %s령 %s에 쳐들어왔습니다
%sの%s%sが明智軍に寝返り	→	%s의 %s%s이(가) 명지군에 투항하여
%sの%s%sが死亡し	→	%s의 %s%s이(가) 사망하고
%sの%s%sが独立し、大名になりました	→	%s의 %s%s가 독립하여 다이묘가 되었습니다
%sの台風が近づいています	→	%s 태풍이 다가오고 있습니다
%sの民に、キリスト教は受け入れられなかったようです	→	%s의 백성들에게 기독교는 받아들여지지 않은 듯합니다
%sの民にも、キリスト教が広まったようです	→	%s의 백성들에게도 기독교가 퍼진 듯합니다
%sの総大将	→	%s의 총대장
%sは%dになり	→	%s은(는) %d이(가) 되어
%sは%d％でよろしいですか	→	%s은(는) %d％로 괜찮으십니까
%sは%s%sの家臣となり	→	%s은(는) %s%s의 가신이 되어
%sは現在、製造中です	→	%s은(는) 현재 제조 중입니다
%sは逃がされ	→	%s은(는) 풀려나
%sました	→	%s했습니다
%sますか？	→	%s하시겠습니까?
%sませぬ	→	%s없사옵니다
%sませんでした	→	%s하지 못했습니다
%sよろしいですか？	→	%s좋으시겠습니까？
%sを%sますか？	→	%s을(를) %s하시겠습니까?
%sをいかほど%s%s	→	%s을(를) 얼마나 %s%s
%sをいかほど%sますか？	→	%s을(를) 얼마나 %s하시겠습니까？
%sを手にいれました	→	%s을(를) 손에 넣었습니다
%sを行いをますか？	→	%s을(를) 행하시겠습니까？
%s・使者武将選択	→	%s 사자 무장 선택
%s不幸なことに、%sにも被害が及びました	→	%s, 불행하게도 %s에도 피해가 미쳤습니다
%s可能国がありません	→	%s 가능한 나라가 없습니다
%s家の姫君をいかがなさいますか？	→	%s가의 공주님을 어찌하시겠습니까?
%s家姫	→	%s가 공주
%s氏は滅亡し	→	%s씨는 멸망하고
%s沖で%s地震が発生したもようです	→	%s 앞바다에서 %s지진이 발생한 것 같습니다
%s相場：%s１につき%s%2d.%d\n	→	%s 시세：%s １개당 %s%2d.%d\n
%s相手がおりません	→	%s상대가 없습니다
%s等	→	%s 등
%s製造・実行武将選択	→	%s 제조／실행 무장 선택
%s製造技術を伝授いたしましょう	→	%s 제조 기술을 전수해 드리겠습니다
%s軍	→	%s군
%s軍が勝ち	→	%s군이 승리
%s軍の兵糧が底をついた	→	%s군의 병량이 바닥났다
%s軍は敗れました	→	%s군은 패배했습니다
%s領	→	%s령
-貯	→	-저
312信長\n徳312康	→	312신장\n덕312강
3333U+UUf,ffw,w,ﾝ-ﾝ"-ﾝ"｢-ﾝ貯	→	3333U+UUf,ffw,w,ﾝ-ﾝ"-ﾝ"｢-ﾝ저
@ﾌｬ院DDｴ	→	@ﾌｬ원DDｴ
B可成の嫡男。長島一向一揆鎮圧や武田家討滅戦に参戦し「鬼武蔵」の異名をとった。本能寺の変後は豊臣秀吉に従い、小牧長久手の合戦で戦死した。	→	B가성의 적남. 장도 잇코잇키 진압과 무전 가문 토멸전에 참전하여 「귀무장」이라는 이명을 얻었다. 본능사의 변 이후에는 풍신수길을 따랐고, 소목 장구수 합전에서 전사했다.
C0 家臣:%4d）	→	C0 가신:%4d）
C1有	→	C1있음
C2送	→	C2파견
C3互	→	C3상호
C4迎	→	C4영접
C5無	→	C5없음
CPK担ｹk	→	CPK담ｹk
NZ臣ﾒjｪE'5	→	NZ신ﾒjｪE'5
fPn致	→	fPn치
{G03}名	→	{G03}명
{G03}名家家臣。主家の家督相続問題では、伊達政宗の弟・小次郎を推す一派を抑えて、佐竹義重の次男・義広を擁立することに成功した。摺上原の合戦で戦死。	→	{G03} 명가의 가신. 주가의 가독 상속 문제에서 이달정종의 아우 소차랑을 미는 일파를 억누르고, 좌죽의중의 차남 의광을 옹립하는 데 성공했다. 접상원 합전에서 전사했다.
{G03}名家臣。嫡男・盛胤に家督を譲るが、後妻の讒言により盛胤の廃嫡を企み、盛胤と争った。のちに主家に背き、摺上原合戦では伊達軍の先鋒を務めた。	→	{G03}명 가신. 적남 성윤에게 가독을 물려주었으나, 후처의 참언으로 성윤의 폐적을 꾀하여 성윤과 다투었다. 이후 주가를 배신하고, 접상원합전에서는 이달군의 선봉을 맡았다.
{G03}名家臣。盛国の子。摺上原合戦において父が伊達家に内応したのを知り、一度軍勢を退くが再び伊達軍に突入。乱戦で傷を負い、隠棲先で死去したという。	→	{G03}명 가신. 성국의 아들. 접상원 합전에서 부친이 이달가에 내응한 것을 알고 한 차례 군세를 물렸으나, 다시 이달군에 돌입했다. 난전 중에 부상을 입어 은거지에서 사망했다고 한다.
{G03}名家臣。舜輔の子。{G03}名四天の宿老の一。図書助を称し、奥州船岡城主を務めた。１５７４年に、田村清顕の軍と安積郡福原で戦った際に戦死した。	→	{G03}명 가문의 가신。순보의 아들。{G03}명 사천의 숙로 중 하나。도서조를 칭하고、오주 선강성주를 지냈다。１５７４년、전촌청현의 군과 안적군 복원에서 싸우다 전사했다。
{G03}名家１６代当主。{G03}名家を伊達家と並ぶ奥州屈指の大名に育て上げた、{G03}名家中興の祖。同盟をうまく利用し、会津一円から北越後に及ぶ所領を獲得した。	→	{G03}명가 １６대 당주。 {G03}명가를 이달가와 어깨를 나란히 하는 오주굴지의 다이묘로 키워낸 {G03}명가 중흥의 조。 동맹을 잘 활용해 회진 일원에서 북월후에 이르는 소령을 획득했다。
{G03}名家１７代当主。盛氏の嫡男。父の隠居により家督を継ぐが、佐竹家との抗争中に夭逝した。盛興の病を治すために、父が領内での造酒を禁じたこともある。	→	{G03}명가 １７대 당주. 성씨의 적남. 아버지의 은거로 가독을 이었으나 좌죽가와의 항쟁 중에 요절했다. 성흥의 병을 고치기 위해 아버지가 영내에서 술 빚는 것을 금하기도 했다.
